INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
4;09.07.2010 0:00:00;1;550000;7257
5;09.07.2010 0:00:00;1;550000;7151
6;09.07.2010 0:00:00;1;550000;7637
7;09.07.2010 0:00:00;1;550000;8327
8;09.07.2010 0:00:00;1;550000;9293
9;09.07.2010 0:00:00;1;550000;9653
10;09.07.2010 0:00:00;1;550000;9834
11;09.07.2010 0:00:00;1;550000;9830
12;09.07.2010 0:00:00;1;550000;9851
13;09.07.2010 0:00:00;1;550000;10065
14;09.07.2010 0:00:00;1;550000;9955
15;09.07.2010 0:00:00;1;550000;10019
16;09.07.2010 0:00:00;1;550000;9798
17;09.07.2010 0:00:00;1;550000;9688
18;09.07.2010 0:00:00;1;550000;9513
19;09.07.2010 0:00:00;1;550000;9468
20;09.07.2010 0:00:00;1;550000;9686
21;09.07.2010 0:00:00;1;550000;10501
22;09.07.2010 0:00:00;1;550000;9889
23;09.07.2010 0:00:00;1;550000;9028
0;10.07.2010 0:00:00;1;550000;8288
1;10.07.2010 0:00:00;1;550000;7867
2;10.07.2010 0:00:00;1;550000;7602
3;10.07.2010 0:00:00;1;550000;7462
4;10.07.2010 0:00:00;1;550000;7453
5;10.07.2010 0:00:00;1;550000;7282
6;10.07.2010 0:00:00;1;550000;7381
7;10.07.2010 0:00:00;1;550000;7908
8;10.07.2010 0:00:00;1;550000;8728
9;10.07.2010 0:00:00;1;550000;9305
10;10.07.2010 0:00:00;1;550000;9415
11;10.07.2010 0:00:00;1;550000;9684
12;10.07.2010 0:00:00;1;550000;9647
13;10.07.2010 0:00:00;1;550000;9737
14;10.07.2010 0:00:00;1;550000;9795
15;10.07.2010 0:00:00;1;550000;9685
16;10.07.2010 0:00:00;1;550000;9803
17;10.07.2010 0:00:00;1;550000;9731
18;10.07.2010 0:00:00;1;550000;9767
19;10.07.2010 0:00:00;1;550000;9501
20;10.07.2010 0:00:00;1;550000;9833
21;10.07.2010 0:00:00;1;550000;10692
22;10.07.2010 0:00:00;1;550000;10177
23;10.07.2010 0:00:00;1;550000;9226
0;11.07.2010 0:00:00;1;550000;8329
1;11.07.2010 0:00:00;1;550000;8015
2;11.07.2010 0:00:00;1;550000;7658
3;11.07.2010 0:00:00;1;550000;7564
4;11.07.2010 0:00:00;1;550000;7345
5;11.07.2010 0:00:00;1;550000;7306
6;11.07.2010 0:00:00;1;550000;7427
7;11.07.2010 0:00:00;1;550000;7746
8;11.07.2010 0:00:00;1;550000;8530
9;11.07.2010 0:00:00;1;550000;9146
10;11.07.2010 0:00:00;1;550000;9495
11;11.07.2010 0:00:00;1;550000;9602
12;11.07.2010 0:00:00;1;550000;9771
13;11.07.2010 0:00:00;1;550000;9833
14;11.07.2010 0:00:00;1;550000;9838
15;11.07.2010 0:00:00;1;550000;9664
16;11.07.2010 0:00:00;1;550000;9800
17;11.07.2010 0:00:00;1;550000;9681
18;11.07.2010 0:00:00;1;550000;9645
19;11.07.2010 0:00:00;1;550000;9484
20;11.07.2010 0:00:00;1;550000;9932
21;11.07.2010 0:00:00;1;550000;10816
22;11.07.2010 0:00:00;1;550000;10180
23;11.07.2010 0:00:00;1;550000;9388
0;12.07.2010 0:00:00;1;550000;8708
1;12.07.2010 0:00:00;1;550000;8106
2;12.07.2010 0:00:00;1;550000;7812
3;12.07.2010 0:00:00;1;550000;7701
4;12.07.2010 0:00:00;1;550000;7622
5;12.07.2010 0:00:00;1;550000;7427
6;12.07.2010 0:00:00;1;550000;7983
7;12.07.2010 0:00:00;1;550000;8781
8;12.07.2010 0:00:00;1;550000;9678
9;12.07.2010 0:00:00;1;550000;10259
10;12.07.2010 0:00:00;1;550000;10351
11;12.07.2010 0:00:00;1;550000;10442
12;12.07.2010 0:00:00;1;550000;10518
13;12.07.2010 0:00:00;1;550000;10843
14;12.07.2010 0:00:00;1;550000;10845
15;12.07.2010 0:00:00;1;550000;10741
16;12.07.2010 0:00:00;1;550000;10389
17;12.07.2010 0:00:00;1;550000;10325
18;12.07.2010 0:00:00;1;550000;10100
19;12.07.2010 0:00:00;1;550000;9844
20;12.07.2010 0:00:00;1;550000;10241
21;12.07.2010 0:00:00;1;550000;10847
22;12.07.2010 0:00:00;1;550000;10190
23;12.07.2010 0:00:00;1;550000;9143
0;13.07.2010 0:00:00;1;550000;8490
1;13.07.2010 0:00:00;1;550000;8186
2;13.07.2010 0:00:00;1;550000;7957
3;13.07.2010 0:00:00;1;550000;7713
4;13.07.2010 0:00:00;1;550000;7756
5;13.07.2010 0:00:00;1;550000;7686
6;13.07.2010 0:00:00;1;550000;8070
7;13.07.2010 0:00:00;1;550000;8806
8;13.07.2010 0:00:00;1;550000;9721
9;13.07.2010 0:00:00;1;550000;9977
10;13.07.2010 0:00:00;1;550000;10299
11;13.07.2010 0:00:00;1;550000;10341
12;13.07.2010 0:00:00;1;550000;10591
13;13.07.2010 0:00:00;1;550000;10710
14;13.07.2010 0:00:00;1;550000;10693
15;13.07.2010 0:00:00;1;550000;10709
16;13.07.2010 0:00:00;1;550000;10402
17;13.07.2010 0:00:00;1;550000;10346
18;13.07.2010 0:00:00;1;550000;10245
19;13.07.2010 0:00:00;1;550000;9984
20;13.07.2010 0:00:00;1;550000;10304
21;13.07.2010 0:00:00;1;550000;10850
22;13.07.2010 0:00:00;1;550000;10282
23;13.07.2010 0:00:00;1;550000;9165
0;14.07.2010 0:00:00;1;550000;8352
1;14.07.2010 0:00:00;1;550000;7974
2;14.07.2010 0:00:00;1;550000;7861
3;14.07.2010 0:00:00;1;550000;7713
4;14.07.2010 0:00:00;1;550000;7534
5;14.07.2010 0:00:00;1;550000;7569
6;14.07.2010 0:00:00;1;550000;7869
7;14.07.2010 0:00:00;1;550000;8513
8;14.07.2010 0:00:00;1;550000;9514
9;14.07.2010 0:00:00;1;550000;10025
10;14.07.2010 0:00:00;1;550000;10193
11;14.07.2010 0:00:00;1;550000;10265
12;14.07.2010 0:00:00;1;550000;10141
13;14.07.2010 0:00:00;1;550000;10345
14;14.07.2010 0:00:00;1;550000;10265
15;14.07.2010 0:00:00;1;550000;10187
16;14.07.2010 0:00:00;1;550000;9944
17;14.07.2010 0:00:00;1;550000;9678
18;14.07.2010 0:00:00;1;550000;9325
19;14.07.2010 0:00:00;1;550000;9222
